"Population by Five Years Age Group","Number"
"0-4",""
"Female","1383"
"Male","1445"
"10-14",""
"Female","2162"
"Male","2134"
"15-19",""
"Female","2276"
"Male","1818"
"20-24",""
"Female","1751"
"Male","885"
"25-29",""
"Female","1362"
"Male","574"
"30-34",""
"Female","1095"
"Male","518"
"35-39",""
"Female","1063"
"Male","498"
"40-44",""
"Female","1004"
"Male","510"
"45-49",""
"Female","882"
"Male","520"
"50-54",""
"Female","832"
"Male","570"
"55-59",""
"Female","707"
"Male","548"
"5-9",""
"Female","1823"
"Male","1756"
"60-64",""
"Female","704"
"Male","573"
"65-69",""
"Female","476"
"Male","446"
"70-74",""
"Female","347"
"Male","390"
"75+",""
"Female","508"
"Male","509"
