"Population by Caste Ethinicity","Number"
"Badi",""
"Female","28"
"Male","35"
"","63"
"Brahman - Hill",""
"Female","3526"
"Male","3081"
"","6607"
"Chhetri",""
"Female","6371"
"Male","5737"
"","12108"
"Dalit Others",""
"Female","226"
"Male","188"
"","414"
"Damai/Dholi",""
"Female","201"
"Male","184"
"","385"
"Kami",""
"Female","472"
"Male","460"
"","932"
"Lohar",""
"Female","352"
"Male","358"
"","710"
"Magar",""
"Female","10"
"Male","10"
"","20"
"Musalman",""
"Female","5"
"Male","7"
"","12"
"Others",""
"Female","19"
"Male","32"
"","51"
"Sanyasi/Dasnami",""
"Female","65"
"Male","70"
"","135"
"Sarki",""
"Female","32"
"Male","33"
"","65"
"Sherpa",""
"Female","3"
"Male","13"
"","16"
"Terai Others",""
"Female","6"
"Male","12"
"","18"
"Thakuri",""
"Female","239"
"Male","228"
"","467"
"Thami",""
"Female","34"
"Male","23"
"","57"
