"Number of households by type of outer wall","Number"
"BambooWall","130"
"Cement Bonded Bricks/Stone Wall","14549"
"Mud Bonded Bricks/Stone Wall","5121"
"Not Stated about Wall","588"
"Other Type Wall","23"
"Unbaked Bricks","36"
"Wood/Planks","85"
"Total","20532"
