"Population by Mother tongue","Number"
"Bantawa",""
"Female","11"
"Male","7"
"","18"
"Gurung",""
"Female","212"
"Male","167"
"","379"
"Khaling",""
"Female","18"
"Male","16"
"","34"
"Limbu",""
"Female","2182"
"Male","1939"
"","4121"
"Maithili",""
"Female","6"
"Male","13"
"","19"
"Nepali",""
"Female","4081"
"Male","3484"
"","7565"
"Newar",""
"Female","38"
"Male","29"
"","67"
"Not Reported",""
"Female","20"
"Male","19"
"","39"
"Others",""
"Female","14"
"Male","10"
"","24"
"Rai",""
"Female","264"
"Male","260"
"","524"
"Sherpa",""
"Female","9"
"Male","7"
"","16"
"Sign Language",""
"Female","7"
"Male","9"
"","16"
"Sunuwar",""
"Female","212"
"Male","166"
"","378"
"Tamang",""
"Female","222"
"Male","169"
"","391"
