"Number of Households by Usage of Cooking Fuel","Number"
"Bio-Gas Fuel","418"
"Cow Dung","4143"
"Electricity Fuel","0"
"KeroseneFuel","101"
"LP Gas","232"
"Not Sated about Fuel","25"
"OthersFuel","224"
"Wood/FireWood","1955"
"Total","7098"
