"Population by Five Years Age Group","Number"
"0-4",""
"Female","1540"
"Male","1599"
"10-14",""
"Female","2196"
"Male","2286"
"15-19",""
"Female","1970"
"Male","2153"
"20-24",""
"Female","1796"
"Male","1425"
"25-29",""
"Female","1543"
"Male","1276"
"30-34",""
"Female","1209"
"Male","1012"
"35-39",""
"Female","1100"
"Male","943"
"40-44",""
"Female","948"
"Male","845"
"45-49",""
"Female","789"
"Male","809"
"50-54",""
"Female","606"
"Male","660"
"55-59",""
"Female","486"
"Male","531"
"5-9",""
"Female","2005"
"Male","2042"
"60-64",""
"Female","453"
"Male","449"
"65-69",""
"Female","292"
"Male","348"
"70-74",""
"Female","193"
"Male","266"
"75+",""
"Female","226"
"Male","230"
