"Population by Caste/Ethinicity","Number"
"Badi",""
"Female","48"
"Male","52"
"Brahman - Hill",""
"Female","531"
"Male","421"
"Chhetri",""
"Female","386"
"Male","297"
"Damai/Dholi",""
"Female","379"
"Male","299"
"Darai",""
"Female","89"
"Male","72"
"Gharti/Bhujel",""
"Female","51"
"Male","41"
"Gurung",""
"Female","158"
"Male","108"
"Kami",""
"Female","1125"
"Male","817"
"Kumal",""
"Female","1061"
"Male","817"
"Magar",""
"Female","5682"
"Male","4121"
"Newar",""
"Female","890"
"Male","698"
"Others",""
"Female","24"
"Male","14"
"Sanyasi/Dasnami",""
"Female","30"
"Male","27"
"Sarki",""
"Female","560"
"Male","375"
"Sunuwar",""
"Female","10"
"Male","3"
"Thakuri",""
"Female","30"
"Male","27"
"Tharu",""
"Female","1"
"Male","12"
"Yadav",""
"Female","38"
"Male","24"
