"Population by Five Years Age Group","Number"
"0-4",""
"Female","977"
"Male","993"
"10-14",""
"Female","1453"
"Male","1355"
"15-19",""
"Female","1372"
"Male","986"
"20-24",""
"Female","1009"
"Male","421"
"25-29",""
"Female","823"
"Male","342"
"30-34",""
"Female","613"
"Male","242"
"35-39",""
"Female","573"
"Male","275"
"40-44",""
"Female","566"
"Male","305"
"45-49",""
"Female","533"
"Male","385"
"50-54",""
"Female","519"
"Male","402"
"55-59",""
"Female","387"
"Male","347"
"5-9",""
"Female","1234"
"Male","1199"
"60-64",""
"Female","365"
"Male","339"
"65-69",""
"Female","268"
"Male","222"
"70-74",""
"Female","169"
"Male","199"
"75+",""
"Female","232"
"Male","213"
