"Number of households by type of outer wall","Number"
"BambooWall","3830"
"Cement Bonded Bricks/Stone Wall","836"
"Mud Bonded Bricks/Stone Wall","90"
"Not stated","84"
"Others","15"
"Unbaked Bricks","10"
"Wood/Planks","88"
"Total","4953"
