"Population by Caste/Ethinicity","Number"
"Badi",""
"Female","62"
"Male","74"
"Brahman - Hill",""
"Female","474"
"Male","409"
"Chamar/ Harijan/ Ram",""
"Female","18"
"Male","9"
"Chhantyal/Chhantel",""
"Female","58"
"Male","48"
"Chhetri",""
"Female","5325"
"Male","4875"
"Dalit Others",""
"Female","37"
"Male","35"
"Damai/Dholi",""
"Female","908"
"Male","776"
"Ghale",""
"Female","7"
"Male","5"
"Gurung",""
"Female","379"
"Male","313"
"Kami",""
"Female","4879"
"Male","4270"
"Kurmi",""
"Female","28"
"Male","28"
"Magar",""
"Female","14308"
"Male","12552"
"Newar",""
"Female","220"
"Male","179"
"Others",""
"Female","64"
"Male","41"
"Sanyasi/Dasnami",""
"Female","16"
"Male","19"
"Sarki",""
"Female","142"
"Male","129"
"Sunuwar",""
"Female","3"
"Male","8"
"Terai Others",""
"Female","9"
"Male","11"
"Thakali",""
"Female","60"
"Male","45"
"Thakuri",""
"Female","1176"
"Male","1019"
