"Population by Five Years Age Group","Number"
"0-4",""
"Female","2901"
"Male","3004"
"10-14",""
"Female","3859"
"Male","3732"
"15-19",""
"Female","3107"
"Male","2761"
"20-24",""
"Female","2580"
"Male","1756"
"25-29",""
"Female","2006"
"Male","1397"
"30-34",""
"Female","1656"
"Male","1078"
"35-39",""
"Female","1623"
"Male","1188"
"40-44",""
"Female","1433"
"Male","1134"
"45-49",""
"Female","1304"
"Male","1078"
"50-54",""
"Female","1054"
"Male","1115"
"55-59",""
"Female","857"
"Male","819"
"5-9",""
"Female","3591"
"Male","3659"
"60-64",""
"Female","935"
"Male","909"
"65-69",""
"Female","561"
"Male","551"
"70-74",""
"Female","416"
"Male","433"
"75+",""
"Female","321"
"Male","366"
