"Agricultural land use area","Hectare"
"Area under arable land","7241.27"
"Area under meadows and pasture","261.97"
"Area under permanent crops","158.50"
"Area under Temporary crops","6956.77"
"Area under temporary fallow","240.76"
"Area under temporary meadows","43.74"
"Other land","272.94"
"Ponds","1.27"
"Woodland and forest","22.75"
