"Population by Single Year of Age","Number"
"0",""
"Female","511"
"Male","517"
"1",""
"Female","490"
"Male","485"
"10",""
"Female","879"
"Male","851"
"11",""
"Female","665"
"Male","618"
"12",""
"Female","874"
"Male","882"
"13",""
"Female","705"
"Male","691"
"14",""
"Female","736"
"Male","690"
"15",""
"Female","705"
"Male","666"
"16",""
"Female","655"
"Male","617"
"17",""
"Female","551"
"Male","468"
"18",""
"Female","727"
"Male","597"
"19",""
"Female","469"
"Male","413"
"2",""
"Female","568"
"Male","625"
"20",""
"Female","635"
"Male","453"
"21",""
"Female","476"
"Male","324"
"22",""
"Female","596"
"Male","391"
"23",""
"Female","443"
"Male","300"
"24",""
"Female","430"
"Male","288"
"25",""
"Female","552"
"Male","395"
"26",""
"Female","395"
"Male","265"
"27",""
"Female","345"
"Male","237"
"28",""
"Female","468"
"Male","327"
"29",""
"Female","246"
"Male","173"
"3",""
"Female","629"
"Male","626"
"30",""
"Female","617"
"Male","375"
"31",""
"Female","231"
"Male","145"
"32",""
"Female","374"
"Male","246"
"33",""
"Female","231"
"Male","157"
"34",""
"Female","203"
"Male","155"
"35",""
"Female","670"
"Male","460"
"36",""
"Female","298"
"Male","218"
"37",""
"Female","184"
"Male","160"
"38",""
"Female","294"
"Male","200"
"39",""
"Female","177"
"Male","150"
"4",""
"Female","703"
"Male","751"
"40",""
"Female","695"
"Male","477"
"41",""
"Female","160"
"Male","152"
"42",""
"Female","248"
"Male","229"
"43",""
"Female","183"
"Male","160"
"44",""
"Female","147"
"Male","116"
"45",""
"Female","553"
"Male","388"
"46",""
"Female","180"
"Male","159"
"47",""
"Female","147"
"Male","138"
"48",""
"Female","261"
"Male","243"
"49",""
"Female","163"
"Male","150"
"5",""
"Female","726"
"Male","780"
"50",""
"Female","489"
"Male","486"
"51",""
"Female","135"
"Male","139"
"52",""
"Female","190"
"Male","210"
"53",""
"Female","123"
"Male","155"
"54",""
"Female","117"
"Male","125"
"55",""
"Female","319"
"Male","284"
"56",""
"Female","135"
"Male","132"
"57",""
"Female","129"
"Male","123"
"58",""
"Female","142"
"Male","158"
"59",""
"Female","132"
"Male","122"
"6",""
"Female","755"
"Male","792"
"60",""
"Female","530"
"Male","437"
"61",""
"Female","100"
"Male","138"
"62",""
"Female","149"
"Male","139"
"63",""
"Female","96"
"Male","98"
"64",""
"Female","60"
"Male","97"
"65",""
"Female","270"
"Male","216"
"66",""
"Female","76"
"Male","69"
"67",""
"Female","81"
"Male","86"
"68",""
"Female","90"
"Male","113"
"69",""
"Female","44"
"Male","67"
"7",""
"Female","630"
"Male","641"
"70",""
"Female","249"
"Male","213"
"71",""
"Female","45"
"Male","57"
"72",""
"Female","65"
"Male","79"
"73",""
"Female","33"
"Male","52"
"74",""
"Female","24"
"Male","32"
"75",""
"Female","78"
"Male","93"
"76",""
"Female","26"
"Male","31"
"77",""
"Female","18"
"Male","31"
"78",""
"Female","33"
"Male","41"
"79",""
"Female","8"
"Male","20"
"8",""
"Female","844"
"Male","849"
"80",""
"Female","65"
"Male","59"
"81",""
"Female","17"
"Male","21"
"82",""
"Female","15"
"Male","12"
"83",""
"Female","5"
"Male","13"
"84",""
"Female","14"
"Male","10"
"85",""
"Female","42"
"Male","35"
"9",""
"Female","636"
"Male","597"
