"Industries Types","Number"
"Accommodation and food","932"
"Administrative and support service activity","11"
"Agriculture, forestry and fishing","556"
"Art, entertainment and recreation","22"
"Construction","13"
"Education","401"
"Electricty gas and water","18"
"Financial intermediation and insurance","321"
"Health and social work","445"
"Information and communications","27"
"Manufacturing","758"
"Mining and quarrying","40"
"Other service activities","444"
"Professional,scientific and techniqual activity","39"
"Real state, renting and business activities","1"
"Transport and storage","26"
"Water supply, wet management","29"
"Wholesale and retail trade","2675"
"Total","6758"
