"Annual Growth rate of GDP by economic activities","Percentage %"
"Agriculture and forestry","4.44"
"Construction","9.59"
"Education","3.94"
"Electricty gas and water","12.64"
"Financial intermediation","1.41"
"Fishing","6.00"
"Health and social work","4.52"
"Hotels and restaurants","6.20"
"Manufacturing","6.29"
"Mining and quarrying","10.09"
"Other community, social and personal service activities","5.57"
"Public administration and defence","5.15"
"Real estate, renting and business activities","5.27"
"Transport, storage and communications","5.47"
"Wholesale and retail trade","10.07"
