"Gross value added by industry (at current price)","Rs (,000)"
"Agriculture and forestry","38944600"
"Construction","13056400"
"Education","16921000"
"Electricty gas and water","1434528"
"Financial intermediation","1796000"
"Fishing","20598"
"Health and social work","3836000"
"Hotels and restaurants","3525000"
"Manufacturing","1224000"
"Mining and quarrying","665810"
"Other community, social and personal service activities","8461100"
"Public administration and defence","9220400"
"Real estate, renting and business activities","10194692"
"Transport, storage and communications","1611200"
"Wholesale and retail trade","7626100"
"Total","118537428"
