"Number of households by type of outer wall","Number"
"BambooWall","3387"
"Cement Bonded Bricks/Stone Wall","916"
"Mud Bonded Bricks/Stone Wall","186"
"Not stated","23"
"Others","6285"
"Unbaked Bricks","21"
"Wood/Planks","98"
"Total","10916"
