"Industries Employment","Number"
"Accommodation,  food",""
"Female","747"
"Male","750"
"Administrative, support service",""
"Female","4"
"Male","55"
"Agriculture, forestry and  fishing",""
"Female","1838"
"Male","2143"
"Arts, entertainment, recreation",""
"Female","7"
"Male","14"
"Construction",""
"Female","19"
"Male","131"
"Education",""
"Female","1728"
"Male","2186"
"Electricity, gas and water",""
"Female","23"
"Male","123"
"Financial intermediation and insurance",""
"Female","422"
"Male","453"
"Health, social work",""
"Female","306"
"Male","224"
"Information and communication",""
"Female","28"
"Male","46"
"Manufacturing",""
"Female","467"
"Male","826"
"Other service activities",""
"Female","788"
"Male","1098"
"Professional, scientific, techniqual activity",""
"Female","16"
"Male","47"
"Real estate, renting and business activity",""
"Female","0"
"Male","0"
"Transportation,  storage",""
"Female","65"
"Male","238"
"Water supply, wet management",""
"Female","246"
"Male","391"
"Wholesale, retail trade",""
"Female","2731"
"Male","3188"
