"Number of Households by Usage of Cooking Fuel","Number"
"Bio-Gas Fuel","16"
"Cow Dung","4493"
"Electricity Fuel","2"
"KeroseneFuel","97"
"LP Gas","73"
"Not Sated about Fuel","46"
"OthersFuel","10"
"Wood/FireWood","856"
"Total","5593"
