"Number of households by type of outer wall","Number"
"BambooWall","306"
"Cement Bonded Bricks/Stone Wall","2588"
"Mud Bonded Bricks/Stone Wall","2214"
"Not Stated about Wall","50"
"Other Type Wall","285"
"Unbaked Bricks","126"
"Wood/Planks","24"
"Total","5593"
