"Population by Caste Ethinicity","Number"
"Badhaee",""
"Female","79"
"Male","107"
"","186"
"Bangali",""
"Female","33"
"Male","34"
"","67"
"Baraee",""
"Female","131"
"Male","128"
"","259"
"Brahman - Hill",""
"Female","541"
"Male","607"
"","1148"
"Brahman - Tarai",""
"Female","373"
"Male","402"
"","775"
"Chamar/ Harijan/ Ram",""
"Female","1688"
"Male","1853"
"","3541"
"Chhetri",""
"Female","82"
"Male","88"
"","170"
"Dhandi",""
"Female","48"
"Male","48"
"","96"
"Dhankar/ Dharikar",""
"Female","19"
"Male","33"
"","52"
"Dhobi",""
"Female","961"
"Male","1003"
"","1964"
"Dhunia",""
"Female","46"
"Male","47"
"","93"
"Dusadh/ Pasawan/ Pasi",""
"Female","728"
"Male","780"
"","1508"
"Gaderi/Bhedihar",""
"Female","569"
"Male","622"
"","1191"
"Gurung",""
"Female","13"
"Male","10"
"","23"
"Hajam/Thakur",""
"Female","259"
"Male","293"
"","552"
"Kahar",""
"Female","824"
"Male","897"
"","1721"
"Kalwar",""
"Female","160"
"Male","163"
"","323"
"Kami",""
"Female","43"
"Male","42"
"","85"
"Kathabaniyan",""
"Female","540"
"Male","646"
"","1186"
"Kayastha",""
"Female","23"
"Male","32"
"","55"
"Kewat",""
"Female","234"
"Male","271"
"","505"
"Koiri/Kushwaha",""
"Female","465"
"Male","485"
"","950"
"Kurmi",""
"Female","1271"
"Male","1382"
"","2653"
"Lodh",""
"Female","1092"
"Male","1149"
"","2241"
"Lohar",""
"Female","308"
"Male","300"
"","608"
"Magar",""
"Female","862"
"Male","867"
"","1729"
"Majhi",""
"Female","7"
"Male","10"
"","17"
"Mali",""
"Female","12"
"Male","6"
"","18"
"Mallaha",""
"Female","810"
"Male","839"
"","1649"
"Marwadi",""
"Female","31"
"Male","26"
"","57"
"Musalman",""
"Female","2189"
"Male","2187"
"","4376"
"Natuwa",""
"Female","14"
"Male","18"
"","32"
"Others",""
"Female","43"
"Male","21"
"","64"
"Rajput",""
"Female","10"
"Male","13"
"","23"
"Sanyasi/Dasnami",""
"Female","17"
"Male","11"
"","28"
"Sarki",""
"Female","15"
"Male","13"
"","28"
"Sherpa",""
"Female","89"
"Male","81"
"","170"
"Sudhi",""
"Female","35"
"Male","32"
"","67"
"Teli",""
"Female","709"
"Male","762"
"","1471"
"Terai Others",""
"Female","319"
"Male","372"
"","691"
"Thakuri",""
"Female","10"
"Male","8"
"","18"
"Tharu",""
"Female","174"
"Male","181"
"","355"
"Yadav",""
"Female","4056"
"Male","4205"
"","8261"
