"Number of Households by Type of Roof","Number"
"Galvanized Iron Plate","8156"
"Mud Roof","0"
"Not Sated Roof","169"
"Other Type of Roof","37"
"RCC Roof","854"
"Thatch/Straw Roof","230"
"Tile/Slate Roof","19"
"Wood/Planks Roof","33"
"Total","9498"
