"Number of households by type of outer wall","Number"
"BambooWall","4635"
"Cement Bonded Bricks/Stone Wall","3313"
"Mud Bonded Bricks/Stone Wall","141"
"Not Stated about Wall","165"
"Other Type Wall","241"
"Unbaked Bricks","3"
"Wood/Planks","1000"
"Total","9498"
