"Number of Households by Usage of Cooking Fuel","Number"
"Bio-Gas Fuel","1557"
"Cow Dung","26"
"Electricity Fuel","5"
"KeroseneFuel","30"
"LP Gas","1334"
"Not Sated about Fuel","150"
"OthersFuel","16"
"Wood/FireWood","6380"
"Total","9498"
