"Population by Caste Ethinicity","Number"
"Brahman - Hill",""
"Female","148"
"Male","141"
"","289"
"Chhetri",""
"Female","108"
"Male","103"
"","211"
"Damai/Dholi",""
"Female","234"
"Male","199"
"","433"
"Dura",""
"Female","8"
"Male","5"
"","13"
"Gharti/Bhujel",""
"Female","48"
"Male","26"
"","74"
"Gurung",""
"Female","3513"
"Male","2780"
"","6293"
"Hyolmo",""
"Female","92"
"Male","75"
"","167"
"Kami",""
"Female","983"
"Male","814"
"","1797"
"Magar",""
"Female","107"
"Male","106"
"","213"
"Musalman",""
"Female","8"
"Male","10"
"","18"
"Newar",""
"Female","13"
"Male","14"
"","27"
"Others",""
"Female","12"
"Male","30"
"","42"
"Rai",""
"Female","17"
"Male","14"
"","31"
"Sanyasi/Dasnami",""
"Female","7"
"Male","5"
"","12"
"Sarki",""
"Female","117"
"Male","100"
"","217"
"Tamang",""
"Female","91"
"Male","80"
"","171"
"Thakuri",""
"Female","14"
"Male","10"
"","24"
