"Population by Mother tongue","Number"
"Bhojpuri",""
"Female","7"
"Male","17"
"","24"
"Gurung",""
"Female","3499"
"Male","2770"
"","6269"
"Hyolmo/Yholmo",""
"Female","92"
"Male","75"
"","167"
"Magar",""
"Female","44"
"Male","48"
"","92"
"Maithili",""
"Female","3"
"Male","8"
"","11"
"Nepali",""
"Female","1747"
"Male","1485"
"","3232"
"Newar",""
"Female","10"
"Male","8"
"","18"
"Others",""
"Female","11"
"Male","7"
"","18"
"Rai",""
"Female","16"
"Male","12"
"","28"
"Tamang",""
"Female","85"
"Male","75"
"","160"
"Urdu",""
"Female","6"
"Male","7"
"","13"
