"Population by Mother tongue","Number"
"Bhojpuri",""
"Female","175"
"Male","172"
"","347"
"Danuwar",""
"Female","5"
"Male","6"
"","11"
"Doteli",""
"Female","5"
"Male","8"
"","13"
"Hindi",""
"Female","415"
"Male","379"
"","794"
"Magahi",""
"Female","37"
"Male","24"
"","61"
"Magar",""
"Female","2334"
"Male","2162"
"","4496"
"Maithili",""
"Female","25521"
"Male","26737"
"","52258"
"Nepali",""
"Female","2526"
"Male","2405"
"","4931"
"Newar",""
"Female","193"
"Male","202"
"","395"
"Not Reported",""
"Female","56"
"Male","65"
"","121"
"Others",""
"Female","32"
"Male","20"
"","52"
"Rai",""
"Female","27"
"Male","33"
"","60"
"Sunuwar",""
"Female","20"
"Male","22"
"","42"
"Tamang",""
"Female","564"
"Male","552"
"","1116"
"Tharu",""
"Female","321"
"Male","291"
"","612"
"Urdu",""
"Female","695"
"Male","673"
"","1368"
