"Number of households by type of outer wall","Number"
"BambooWall","139"
"Cement Bonded Bricks/Stone Wall","826"
"Mud Bonded Bricks/Stone Wall","3935"
"Not stated","7"
"Others","17"
"Unbaked Bricks","38"
"Wood/Planks","10"
"Total","4972"
