"Population by Caste/Ethinicity","Number"
"Bote",""
"Female","82"
"Male","85"
"Brahman - Hill",""
"Female","4332"
"Male","3250"
"Chhetri",""
"Female","257"
"Male","196"
"Damai/Dholi",""
"Female","398"
"Male","259"
"Gharti/Bhujel",""
"Female","187"
"Male","154"
"Gurung",""
"Female","18"
"Male","14"
"Kami",""
"Female","913"
"Male","653"
"Magar",""
"Female","5557"
"Male","4295"
"Musalman",""
"Female","16"
"Male","14"
"Newar",""
"Female","202"
"Male","167"
"Others",""
"Female","24"
"Male","42"
"Sarki",""
"Female","354"
"Male","230"
"Tharu",""
"Female","6"
"Male","13"
