"Population by Mother tongue","Number"
"Baitadeli",""
"Female","6"
"Male","12"
"Bajhangi",""
"Female","24462"
"Male","21408"
"Dhuleli",""
"Female","173"
"Male","165"
"Doteli",""
"Female","508"
"Male","430"
"Gurung",""
"Female","54"
"Male","56"
"Hindi",""
"Female","7"
"Male","7"
"Nepali",""
"Female","76914"
"Male","70016"
"Newar",""
"Female","5"
"Male","9"
"Not Reported",""
"Female","52"
"Male","36"
"Others",""
"Female","78"
"Male","108"
"Rai",""
"Female","10"
"Male","10"
"Sherpa",""
"Female","15"
"Male","12"
"Tamang",""
"Female","72"
"Male","76"
