"Population by Five Years Age Group","Number"
"0-4",""
"Female","13242"
"Male","13919"
"10-14",""
"Female","14431"
"Male","14445"
"15-19",""
"Female","10180"
"Male","9726"
"20-24",""
"Female","8219"
"Male","6365"
"25-29",""
"Female","7106"
"Male","5537"
"30-34",""
"Female","5931"
"Male","4468"
"35-39",""
"Female","5327"
"Male","4372"
"40-44",""
"Female","4512"
"Male","3660"
"45-49",""
"Female","3846"
"Male","3201"
"50-54",""
"Female","3091"
"Male","2869"
"55-59",""
"Female","2536"
"Male","2430"
"5-9",""
"Female","15174"
"Male","15564"
"60-64",""
"Female","3223"
"Male","2154"
"65-69",""
"Female","2280"
"Male","1765"
"70-74",""
"Female","1787"
"Male","1164"
"75+",""
"Female","1480"
"Male","1155"
