"Agricultural land use area","Hectare"
"Area under arable land","10148.81"
"Area under meadows and pasture","120.72"
"Area under permanent crops","793.18"
"Area under Temporary crops","10012.65"
"Area under temporary fallow","97.27"
"Area under temporary meadows","38.90"
"Other land","586.51"
"Ponds","0.00"
"Woodland and forest","163.02"
