"Population by Single Year of Age","Number"
"0",""
"Female","458"
"Male","613"
"1",""
"Female","504"
"Male","583"
"10",""
"Female","735"
"Male","827"
"11",""
"Female","616"
"Male","738"
"12",""
"Female","749"
"Male","858"
"13",""
"Female","860"
"Male","843"
"14",""
"Female","876"
"Male","928"
"15",""
"Female","816"
"Male","944"
"16",""
"Female","887"
"Male","951"
"17",""
"Female","806"
"Male","833"
"18",""
"Female","987"
"Male","1107"
"19",""
"Female","710"
"Male","779"
"2",""
"Female","504"
"Male","541"
"20",""
"Female","1129"
"Male","999"
"21",""
"Female","819"
"Male","720"
"22",""
"Female","1121"
"Male","985"
"23",""
"Female","846"
"Male","681"
"24",""
"Female","971"
"Male","768"
"25",""
"Female","1197"
"Male","936"
"26",""
"Female","835"
"Male","722"
"27",""
"Female","835"
"Male","670"
"28",""
"Female","985"
"Male","889"
"29",""
"Female","492"
"Male","523"
"3",""
"Female","465"
"Male","527"
"30",""
"Female","1337"
"Male","1068"
"31",""
"Female","391"
"Male","459"
"32",""
"Female","851"
"Male","728"
"33",""
"Female","544"
"Male","494"
"34",""
"Female","588"
"Male","529"
"35",""
"Female","1147"
"Male","1039"
"36",""
"Female","574"
"Male","543"
"37",""
"Female","434"
"Male","485"
"38",""
"Female","670"
"Male","657"
"39",""
"Female","352"
"Male","377"
"4",""
"Female","528"
"Male","575"
"40",""
"Female","1015"
"Male","1035"
"41",""
"Female","311"
"Male","346"
"42",""
"Female","520"
"Male","596"
"43",""
"Female","353"
"Male","360"
"44",""
"Female","320"
"Male","365"
"45",""
"Female","612"
"Male","718"
"46",""
"Female","322"
"Male","340"
"47",""
"Female","233"
"Male","284"
"48",""
"Female","417"
"Male","389"
"49",""
"Female","270"
"Male","254"
"5",""
"Female","569"
"Male","633"
"50",""
"Female","702"
"Male","603"
"51",""
"Female","158"
"Male","217"
"52",""
"Female","270"
"Male","321"
"53",""
"Female","184"
"Male","200"
"54",""
"Female","197"
"Male","203"
"55",""
"Female","382"
"Male","372"
"56",""
"Female","219"
"Male","231"
"57",""
"Female","144"
"Male","187"
"58",""
"Female","216"
"Male","223"
"59",""
"Female","120"
"Male","125"
"6",""
"Female","569"
"Male","656"
"60",""
"Female","465"
"Male","366"
"61",""
"Female","149"
"Male","126"
"62",""
"Female","155"
"Male","157"
"63",""
"Female","105"
"Male","118"
"64",""
"Female","137"
"Male","99"
"65",""
"Female","316"
"Male","243"
"66",""
"Female","135"
"Male","135"
"67",""
"Female","121"
"Male","127"
"68",""
"Female","139"
"Male","163"
"69",""
"Female","63"
"Male","64"
"7",""
"Female","624"
"Male","641"
"70",""
"Female","244"
"Male","193"
"71",""
"Female","70"
"Male","60"
"72",""
"Female","114"
"Male","93"
"73",""
"Female","66"
"Male","75"
"74",""
"Female","52"
"Male","63"
"75",""
"Female","134"
"Male","114"
"76",""
"Female","52"
"Male","73"
"77",""
"Female","51"
"Male","44"
"78",""
"Female","86"
"Male","93"
"79",""
"Female","25"
"Male","32"
"8",""
"Female","624"
"Male","683"
"80",""
"Female","71"
"Male","60"
"81",""
"Female","18"
"Male","23"
"82",""
"Female","35"
"Male","30"
"83",""
"Female","24"
"Male","16"
"84",""
"Female","28"
"Male","34"
"85",""
"Female","170"
"Male","119"
"9",""
"Female","613"
"Male","616"
