"Number of households by type of outer wall","Number"
"BambooWall","3613"
"Cement Bonded Bricks/Stone Wall","2104"
"Mud Bonded Bricks/Stone Wall","779"
"Not stated","78"
"Others","678"
"Unbaked Bricks","32"
"Wood/Planks","102"
"Total","7386"
