"Population by Five Years Age Group","Number"
"0-4",""
"Female","2102"
"Male","2270"
"10-14",""
"Female","2823"
"Male","2842"
"15-19",""
"Female","2314"
"Male","2535"
"20-24",""
"Female","2042"
"Male","1818"
"25-29",""
"Female","1938"
"Male","1716"
"30-34",""
"Female","1732"
"Male","1437"
"35-39",""
"Female","1384"
"Male","1473"
"40-44",""
"Female","1195"
"Male","1176"
"45-49",""
"Female","946"
"Male","1029"
"50-54",""
"Female","766"
"Male","829"
"55-59",""
"Female","684"
"Male","752"
"5-9",""
"Female","2691"
"Male","2905"
"60-64",""
"Female","668"
"Male","677"
"65-69",""
"Female","495"
"Male","548"
"70-74",""
"Female","360"
"Male","415"
"75+",""
"Female","314"
"Male","365"
