"Population by Single Year of Age","Number"
"0",""
"Female","408"
"Male","451"
"1",""
"Female","319"
"Male","353"
"10",""
"Female","747"
"Male","819"
"11",""
"Female","383"
"Male","416"
"12",""
"Female","671"
"Male","666"
"13",""
"Female","482"
"Male","452"
"14",""
"Female","540"
"Male","489"
"15",""
"Female","452"
"Male","575"
"16",""
"Female","600"
"Male","549"
"17",""
"Female","415"
"Male","438"
"18",""
"Female","589"
"Male","693"
"19",""
"Female","258"
"Male","280"
"2",""
"Female","394"
"Male","432"
"20",""
"Female","582"
"Male","573"
"21",""
"Female","247"
"Male","237"
"22",""
"Female","489"
"Male","414"
"23",""
"Female","322"
"Male","278"
"24",""
"Female","402"
"Male","316"
"25",""
"Female","582"
"Male","542"
"26",""
"Female","355"
"Male","302"
"27",""
"Female","278"
"Male","256"
"28",""
"Female","552"
"Male","476"
"29",""
"Female","171"
"Male","140"
"3",""
"Female","498"
"Male","520"
"30",""
"Female","691"
"Male","646"
"31",""
"Female","146"
"Male","124"
"32",""
"Female","451"
"Male","392"
"33",""
"Female","226"
"Male","152"
"34",""
"Female","218"
"Male","123"
"35",""
"Female","511"
"Male","784"
"36",""
"Female","203"
"Male","193"
"37",""
"Female","140"
"Male","110"
"38",""
"Female","442"
"Male","292"
"39",""
"Female","88"
"Male","94"
"4",""
"Female","483"
"Male","514"
"40",""
"Female","569"
"Male","655"
"41",""
"Female","76"
"Male","92"
"42",""
"Female","256"
"Male","244"
"43",""
"Female","170"
"Male","98"
"44",""
"Female","124"
"Male","87"
"45",""
"Female","464"
"Male","593"
"46",""
"Female","101"
"Male","103"
"47",""
"Female","76"
"Male","87"
"48",""
"Female","240"
"Male","179"
"49",""
"Female","65"
"Male","67"
"5",""
"Female","555"
"Male","642"
"50",""
"Female","376"
"Male","501"
"51",""
"Female","64"
"Male","71"
"52",""
"Female","139"
"Male","120"
"53",""
"Female","100"
"Male","85"
"54",""
"Female","87"
"Male","52"
"55",""
"Female","348"
"Male","425"
"56",""
"Female","69"
"Male","77"
"57",""
"Female","64"
"Male","79"
"58",""
"Female","158"
"Male","112"
"59",""
"Female","45"
"Male","59"
"6",""
"Female","511"
"Male","607"
"60",""
"Female","362"
"Male","439"
"61",""
"Female","59"
"Male","54"
"62",""
"Female","112"
"Male","95"
"63",""
"Female","104"
"Male","45"
"64",""
"Female","31"
"Male","44"
"65",""
"Female","311"
"Male","340"
"66",""
"Female","41"
"Male","40"
"67",""
"Female","31"
"Male","45"
"68",""
"Female","89"
"Male","95"
"69",""
"Female","23"
"Male","28"
"7",""
"Female","522"
"Male","513"
"70",""
"Female","225"
"Male","291"
"71",""
"Female","28"
"Male","22"
"72",""
"Female","54"
"Male","54"
"73",""
"Female","38"
"Male","27"
"74",""
"Female","15"
"Male","21"
"75",""
"Female","126"
"Male","139"
"76",""
"Female","9"
"Male","14"
"77",""
"Female","7"
"Male","11"
"78",""
"Female","20"
"Male","20"
"79",""
"Female","7"
"Male","2"
"8",""
"Female","714"
"Male","744"
"80",""
"Female","66"
"Male","75"
"81",""
"Female","3"
"Male","5"
"82",""
"Female","6"
"Male","14"
"83",""
"Female","5"
"Male","1"
"84",""
"Female","4"
"Male","4"
"85",""
"Female","61"
"Male","80"
"9",""
"Female","389"
"Male","399"
