"Population by Caste/Ethinicity","Number"
"Bantaba",""
"Female","15"
"Male","13"
"Brahman - Hill",""
"Female","3053"
"Male","2807"
"Chhetri",""
"Female","2401"
"Male","2241"
"Dalit Others",""
"Female","17"
"Male","16"
"Damai/Dholi",""
"Female","256"
"Male","231"
"Gharti/Bhujel",""
"Female","47"
"Male","59"
"Gurung",""
"Female","321"
"Male","323"
"Hajam/Thakur",""
"Female","7"
"Male","5"
"Kami",""
"Female","501"
"Male","430"
"Kulung",""
"Female","44"
"Male","56"
"Limbu",""
"Female","2511"
"Male","2392"
"Magar",""
"Female","1574"
"Male","1403"
"Mewahang Bala",""
"Female","7"
"Male","5"
"Newar",""
"Female","693"
"Male","658"
"Others",""
"Female","51"
"Male","57"
"Punjabi/Sikh",""
"Female","5"
"Male","6"
"Rai",""
"Female","3440"
"Male","3167"
"Samgpang",""
"Female","17"
"Male","16"
"Sanyasi/Dasnami",""
"Female","211"
"Male","192"
"Sarki",""
"Female","84"
"Male","76"
"Sherpa",""
"Female","227"
"Male","250"
"Sunuwar",""
"Female","184"
"Male","171"
"Tamang",""
"Female","1214"
"Male","1062"
"Tharu",""
"Female","7"
"Male","4"
"Undefined Others",""
"Female","25"
"Male","29"
"Yamphu",""
"Female","174"
"Male","172"
