"Number of households by type of outer wall","Number"
"BambooWall","1224"
"Cement Bonded Bricks/Stone Wall","10075"
"Mud Bonded Bricks/Stone Wall","11095"
"Not stated","280"
"Others","193"
"Unbaked Bricks","569"
"Wood/Planks","274"
"Total","23710"
