"Population by Five Years Age Group","Number"
"0-4",""
"Female","2290"
"Male","2483"
"10-14",""
"Female","2505"
"Male","2744"
"15-19",""
"Female","1542"
"Male","1817"
"20-24",""
"Female","1361"
"Male","1325"
"25-29",""
"Female","1393"
"Male","1391"
"30-34",""
"Female","1323"
"Male","1235"
"35-39",""
"Female","1117"
"Male","1263"
"40-44",""
"Female","897"
"Male","999"
"45-49",""
"Female","662"
"Male","802"
"50-54",""
"Female","507"
"Male","623"
"55-59",""
"Female","511"
"Male","515"
"5-9",""
"Female","3021"
"Male","3144"
"60-64",""
"Female","520"
"Male","521"
"65-69",""
"Female","362"
"Male","435"
"70-74",""
"Female","286"
"Male","288"
"75+",""
"Female","272"
"Male","258"
