"Population by Single Year of Age","Number"
"0",""
"Female","344"
"Male","395"
"1",""
"Female","316"
"Male","337"
"10",""
"Female","822"
"Male","1001"
"11",""
"Female","333"
"Male","265"
"12",""
"Female","612"
"Male","731"
"13",""
"Female","329"
"Male","345"
"14",""
"Female","409"
"Male","402"
"15",""
"Female","427"
"Male","501"
"16",""
"Female","356"
"Male","407"
"17",""
"Female","216"
"Male","276"
"18",""
"Female","412"
"Male","464"
"19",""
"Female","131"
"Male","169"
"2",""
"Female","508"
"Male","523"
"20",""
"Female","539"
"Male","541"
"21",""
"Female","106"
"Male","125"
"22",""
"Female","279"
"Male","324"
"23",""
"Female","252"
"Male","163"
"24",""
"Female","185"
"Male","172"
"25",""
"Female","567"
"Male","626"
"26",""
"Female","199"
"Male","173"
"27",""
"Female","129"
"Male","161"
"28",""
"Female","416"
"Male","333"
"29",""
"Female","82"
"Male","98"
"3",""
"Female","573"
"Male","633"
"30",""
"Female","664"
"Male","664"
"31",""
"Female","60"
"Male","77"
"32",""
"Female","286"
"Male","284"
"33",""
"Female","185"
"Male","101"
"34",""
"Female","128"
"Male","109"
"35",""
"Female","561"
"Male","746"
"36",""
"Female","106"
"Male","148"
"37",""
"Female","89"
"Male","113"
"38",""
"Female","290"
"Male","197"
"39",""
"Female","71"
"Male","59"
"4",""
"Female","549"
"Male","595"
"40",""
"Female","568"
"Male","660"
"41",""
"Female","36"
"Male","69"
"42",""
"Female","130"
"Male","162"
"43",""
"Female","106"
"Male","63"
"44",""
"Female","57"
"Male","45"
"45",""
"Female","409"
"Male","539"
"46",""
"Female","50"
"Male","75"
"47",""
"Female","36"
"Male","66"
"48",""
"Female","144"
"Male","99"
"49",""
"Female","23"
"Male","23"
"5",""
"Female","692"
"Male","707"
"50",""
"Female","332"
"Male","456"
"51",""
"Female","21"
"Male","21"
"52",""
"Female","60"
"Male","75"
"53",""
"Female","58"
"Male","43"
"54",""
"Female","36"
"Male","28"
"55",""
"Female","291"
"Male","320"
"56",""
"Female","44"
"Male","57"
"57",""
"Female","30"
"Male","38"
"58",""
"Female","115"
"Male","71"
"59",""
"Female","31"
"Male","29"
"6",""
"Female","634"
"Male","640"
"60",""
"Female","321"
"Male","347"
"61",""
"Female","31"
"Male","42"
"62",""
"Female","83"
"Male","66"
"63",""
"Female","56"
"Male","33"
"64",""
"Female","29"
"Male","33"
"65",""
"Female","239"
"Male","291"
"66",""
"Female","30"
"Male","29"
"67",""
"Female","26"
"Male","28"
"68",""
"Female","53"
"Male","60"
"69",""
"Female","14"
"Male","27"
"7",""
"Female","570"
"Male","581"
"70",""
"Female","197"
"Male","203"
"71",""
"Female","21"
"Male","20"
"72",""
"Female","43"
"Male","37"
"73",""
"Female","15"
"Male","18"
"74",""
"Female","10"
"Male","10"
"75",""
"Female","136"
"Male","116"
"76",""
"Female","10"
"Male","11"
"77",""
"Female","9"
"Male","6"
"78",""
"Female","17"
"Male","9"
"79",""
"Female","5"
"Male","8"
"8",""
"Female","756"
"Male","840"
"80",""
"Female","42"
"Male","54"
"81",""
"Female","2"
"Male","1"
"82",""
"Female","2"
"Male","3"
"83",""
"Female","1"
"Male","1"
"84",""
"Female","2"
"Male","2"
"85",""
"Female","46"
"Male","47"
"9",""
"Female","369"
"Male","376"
