"Population by Five Years Age Group","Number"
"0-4",""
"Female","741"
"Male","781"
"10-14",""
"Female","1492"
"Male","1395"
"15-19",""
"Female","1406"
"Male","1234"
"20-24",""
"Female","870"
"Male","627"
"25-29",""
"Female","751"
"Male","452"
"30-34",""
"Female","601"
"Male","465"
"35-39",""
"Female","625"
"Male","487"
"40-44",""
"Female","603"
"Male","542"
"45-49",""
"Female","569"
"Male","535"
"50-54",""
"Female","543"
"Male","550"
"55-59",""
"Female","382"
"Male","423"
"5-9",""
"Female","1086"
"Male","1008"
"60-64",""
"Female","421"
"Male","389"
"65-69",""
"Female","306"
"Male","279"
"70-74",""
"Female","269"
"Male","272"
"75+",""
"Female","355"
"Male","324"
