"Population by Caste/Ethinicity","Number"
"Badi",""
"Female","25"
"Male","22"
"Brahman - Hill",""
"Female","835"
"Male","745"
"Chhetri",""
"Female","1896"
"Male","1715"
"Dalit Others",""
"Female","26"
"Male","30"
"Damai/Dholi",""
"Female","195"
"Male","161"
"Ghale",""
"Female","85"
"Male","76"
"Gharti/Bhujel",""
"Female","22"
"Male","21"
"Gurung",""
"Female","488"
"Male","389"
"Kami",""
"Female","292"
"Male","270"
"Magar",""
"Female","167"
"Male","133"
"Newar",""
"Female","634"
"Male","571"
"Others",""
"Female","15"
"Male","15"
"Sarki",""
"Female","99"
"Male","77"
"Sonar",""
"Female","35"
"Male","32"
"Tamang",""
"Female","6142"
"Male","5446"
"Thakuri",""
"Female","61"
"Male","49"
