"Number of Households by Type of Roof","Number"
"Galvanized Iron Plate","57138"
"Mud Roof","1"
"Not Sated Roof","917"
"Other Type of Roof","280"
"RCC Roof","56381"
"Thatch/Straw Roof","3068"
"Tile/Slate Roof","7578"
"Wood/Planks Roof","96"
"Total","125459"
