"Agricultural land use area","Hectare"
"Area under arable land","19200.00"
"Area under meadows and pasture","1015.00"
"Area under permanent crops","908.00"
"Area under Temporary crops","18390.00"
"Area under temporary fallow","615.00"
"Area under temporary meadows","195.00"
"Other land","1138.00"
"Ponds","17.00"
"Woodland and forest","1161.00"
"Total","42639.00"
