"Number of Households by Usage of Cooking Fuel","Number"
"Bio-Gas Fuel","5376"
"Cow Dung","59"
"Electricity Fuel","137"
"KeroseneFuel","1686"
"LP Gas","76676"
"Not Sated about Fuel","450"
"OthersFuel","288"
"Wood/FireWood","40787"
"Total","125459"
