"Population by Five Years Age Group","Number"
"0-4",""
"Female","6540"
"Male","6995"
"10-14",""
"Female","9659"
"Male","9718"
"15-19",""
"Female","9335"
"Male","8292"
"20-24",""
"Female","7717"
"Male","4209"
"25-29",""
"Female","6498"
"Male","3257"
"30-34",""
"Female","5011"
"Male","2822"
"35-39",""
"Female","4870"
"Male","2800"
"40-44",""
"Female","4292"
"Male","2778"
"45-49",""
"Female","4057"
"Male","2659"
"50-54",""
"Female","3594"
"Male","2810"
"55-59",""
"Female","3010"
"Male","2673"
"5-9",""
"Female","7802"
"Male","8225"
"60-64",""
"Female","3008"
"Male","2403"
"65-69",""
"Female","2264"
"Male","2030"
"70-74",""
"Female","1596"
"Male","1604"
"75+",""
"Female","2036"
"Male","2026"
