"Agricultural land use area","Hectare"
"Area under arable land","9464.97"
"Area under meadows and pasture","53.75"
"Area under permanent crops","1597.48"
"Area under Temporary crops","9013.53"
"Area under temporary fallow","386.38"
"Area under temporary meadows","65.06"
"Other land","778.07"
"Ponds","2.38"
"Woodland and forest","702.26"
