"Population by Caste/Ethinicity","Number"
"Badi",""
"Female","78"
"Male","93"
"Brahman - Hill",""
"Female","641"
"Male","638"
"Chamar/ Harijan/ Ram",""
"Female","30"
"Male","28"
"Chhetri",""
"Female","5181"
"Male","5013"
"Damai/Dholi",""
"Female","486"
"Male","468"
"Gaine",""
"Female","61"
"Male","64"
"Kami",""
"Female","4762"
"Male","4560"
"Magar",""
"Female","2349"
"Male","2277"
"Newar",""
"Female","124"
"Male","118"
"Others",""
"Female","20"
"Male","29"
"Raji",""
"Female","51"
"Male","49"
"Sanyasi/Dasnami",""
"Female","285"
"Male","250"
"Sarki",""
"Female","59"
"Male","58"
"Terai Others",""
"Female","37"
"Male","31"
"Thakuri",""
"Female","2879"
"Male","2775"
"Tharu",""
"Female","14"
"Male","7"
