"Number of households by type of outer wall","Number"
"BambooWall","5945"
"Cement Bonded Bricks/Stone Wall","711"
"Mud Bonded Bricks/Stone Wall","102"
"Not stated","27"
"Others","55"
"Unbaked Bricks","8"
"Wood/Planks","292"
"Total","7140"
