"Population by Caste Ethinicity","Number"
"Brahman - Hill",""
"Female","690"
"Male","661"
"","1351"
"Chhetri",""
"Female","142"
"Male","133"
"","275"
"Damai/Dholi",""
"Female","6"
"Male","6"
"","12"
"Kami",""
"Female","39"
"Male","27"
"","66"
"Magar",""
"Female","124"
"Male","99"
"","223"
"Newar",""
"Female","118"
"Male","99"
"","217"
"Others",""
"Female","30"
"Male","24"
"","54"
"Pahari",""
"Female","73"
"Male","67"
"","140"
"Sunuwar",""
"Female","7"
"Male","7"
"","14"
"Tamang",""
"Female","3884"
"Male","3473"
"","7357"
