"Number of Households by Usage of Cooking Fuel","Number"
"Bio-Gas Fuel","7"
"Cow Dung","1"
"Electricity Fuel","0"
"KeroseneFuel","4"
"LP Gas","35"
"Not Sated about Fuel","13"
"OthersFuel","0"
"Wood/FireWood","1941"
"Total","2001"
