"Population by Religion","Number"
"Bahai","0"
"Bon","4"
"Buddism","6153"
"Christianity","178"
"Hindu","3359"
"Islam","0"
"Jainism","0"
"Kirat","0"
"Prakriti","3"
"Sikhism","0"
"Undefined","12"
"Total","9709"
