"Number of Households by Usage of Cooking Fuel","Number"
"Bio-Gas Fuel","60"
"Cow Dung","1"
"Electricity Fuel","3"
"KeroseneFuel","13"
"LP Gas","195"
"Not Sated about Fuel","15"
"OthersFuel","0"
"Wood/FireWood","5239"
"Total","5526"
