"Number of Households by Usage of Cooking Fuel","Number"
"Bio-Gas","398"
"Cow Dung","12"
"Electricity","3"
"Kerosene","37"
"LP Gas","441"
"Not stated","9"
"Others","5"
"Wood/Firewood","6986"
"Total","7891"
