"Number of households by type of outer wall","Number"
"BambooWall","125"
"Cement Bonded Bricks/Stone Wall","1550"
"Mud Bonded Bricks/Stone Wall","1468"
"Not stated","17"
"Others","173"
"Unbaked Bricks","4"
"Wood/Planks","4554"
"Total","7891"
