"Population by Five Years Age Group","Number"
"0-4",""
"Female","1084"
"Male","1147"
"10-14",""
"Female","1025"
"Male","1061"
"15-19",""
"Female","678"
"Male","688"
"20-24",""
"Female","599"
"Male","503"
"25-29",""
"Female","448"
"Male","384"
"30-34",""
"Female","413"
"Male","406"
"35-39",""
"Female","342"
"Male","343"
"40-44",""
"Female","254"
"Male","263"
"45-49",""
"Female","261"
"Male","258"
"50-54",""
"Female","176"
"Male","223"
"55-59",""
"Female","185"
"Male","207"
"5-9",""
"Female","1131"
"Male","1145"
"60-64",""
"Female","265"
"Male","177"
"65-69",""
"Female","90"
"Male","110"
"70-74",""
"Female","57"
"Male","50"
"75+",""
"Female","46"
"Male","61"
