"Number of households by type of outer wall","Number"
"BambooWall","8349"
"Cement Bonded Bricks/Stone Wall","2890"
"Mud Bonded Bricks/Stone Wall","474"
"Not Stated about Wall","85"
"Other Type Wall","313"
"Unbaked Bricks","23"
"Wood/Planks","2561"
"Total","14695"
