"Population by Mother tongue","Number"
"Avadhi",""
"Female","10"
"Male","13"
"","23"
"Bahing",""
"Female","20"
"Male","14"
"","34"
"Bangla",""
"Female","55"
"Male","64"
"","119"
"Bantawa",""
"Female","103"
"Male","85"
"","188"
"Bhojpuri",""
"Female","55"
"Male","56"
"","111"
"Bhujel",""
"Female","21"
"Male","8"
"","29"
"Chamling",""
"Female","77"
"Male","60"
"","137"
"Danuwar",""
"Female","6"
"Male","5"
"","11"
"Dhimal",""
"Female","12"
"Male","7"
"","19"
"Doteli",""
"Female","8"
"Male","5"
"","13"
"Dumi",""
"Female","11"
"Male","7"
"","18"
"Dungmali",""
"Female","26"
"Male","16"
"","42"
"Ganagai",""
"Female","9"
"Male","6"
"","15"
"Gurung",""
"Female","264"
"Male","206"
"","470"
"Hindi",""
"Female","37"
"Male","46"
"","83"
"Khaling",""
"Female","16"
"Male","17"
"","33"
"Kulung",""
"Female","167"
"Male","142"
"","309"
"Kumal",""
"Female","25"
"Male","23"
"","48"
"Limbu",""
"Female","5104"
"Male","4108"
"","9212"
"Lohorung",""
"Female","12"
"Male","9"
"","21"
"Magahi",""
"Female","81"
"Male","83"
"","164"
"Magar",""
"Female","489"
"Male","429"
"","918"
"Maithili",""
"Female","1182"
"Male","1219"
"","2401"
"Majhi",""
"Female","226"
"Male","186"
"","412"
"Meche",""
"Female","8"
"Male","12"
"","20"
"Nachhiring",""
"Female","7"
"Male","6"
"","13"
"Nepali",""
"Female","18433"
"Male","15354"
"","33787"
"Newar",""
"Female","531"
"Male","498"
"","1029"
"Not Reported",""
"Female","103"
"Male","88"
"","191"
"Others",""
"Female","186"
"Male","142"
"","328"
"Rai",""
"Female","1218"
"Male","1076"
"","2294"
"Rajbanshi",""
"Female","1998"
"Male","1733"
"","3731"
"Rajsthani",""
"Female","27"
"Male","31"
"","58"
"Sampang",""
"Female","20"
"Male","17"
"","37"
"Sanskrit",""
"Female","31"
"Male","26"
"","57"
"Santhali",""
"Female","826"
"Male","811"
"","1637"
"Sherpa",""
"Female","33"
"Male","38"
"","71"
"Sign Language",""
"Female","4"
"Male","8"
"","12"
"Sindhi",""
"Female","26"
"Male","20"
"","46"
"Sunuwar",""
"Female","120"
"Male","115"
"","235"
"Tajpuriya",""
"Female","1849"
"Male","1689"
"","3538"
"Tamang",""
"Female","1004"
"Male","872"
"","1876"
"Tharu",""
"Female","325"
"Male","253"
"","578"
"Thulung",""
"Female","13"
"Male","12"
"","25"
"Urdu",""
"Female","75"
"Male","79"
"","154"
"Yakkha",""
"Female","19"
"Male","18"
"","37"
"Yamphu/Yamphe",""
"Female","9"
"Male","3"
"","12"
