"Number of Households by Usage of Cooking Fuel","Number"
"Bio-Gas Fuel","577"
"Cow Dung","59"
"Electricity Fuel","5"
"KeroseneFuel","42"
"LP Gas","2637"
"Not Sated about Fuel","91"
"OthersFuel","6"
"Wood/FireWood","8601"
"Total","12018"
