"Number of households by type of outer wall","Number"
"BambooWall","169"
"Cement Bonded Bricks/Stone Wall","82"
"Mud Bonded Bricks/Stone Wall","3256"
"Not Stated about Wall","10"
"Other Type Wall","18"
"Unbaked Bricks","0"
"Wood/Planks","142"
"Total","3677"
