"Population by Caste/Ethinicity","Number"
"Brahman - Hill",""
"Female","526"
"Male","481"
"Chhetri",""
"Female","2775"
"Male","2208"
"Damai/Dholi",""
"Female","639"
"Male","435"
"Gaine",""
"Female","11"
"Male","3"
"Gharti/Bhujel",""
"Female","31"
"Male","33"
"Gurung",""
"Female","85"
"Male","62"
"Kami",""
"Female","3302"
"Male","2582"
"Kumal",""
"Female","44"
"Male","40"
"Magar",""
"Female","4566"
"Male","3838"
"Others",""
"Female","21"
"Male","10"
"Sanyasi/Dasnami",""
"Female","1135"
"Male","992"
"Sarki",""
"Female","118"
"Male","104"
"Tamang",""
"Female","160"
"Male","135"
"Thakali",""
"Female","18"
"Male","24"
"Thakuri",""
"Female","595"
"Male","448"
