"Population by Five Years Age Group","Number"
"0-4",""
"Female","1872"
"Male","1881"
"10-14",""
"Female","1946"
"Male","1885"
"15-19",""
"Female","1510"
"Male","1056"
"20-24",""
"Female","1140"
"Male","585"
"25-29",""
"Female","972"
"Male","480"
"30-34",""
"Female","792"
"Male","422"
"35-39",""
"Female","714"
"Male","418"
"40-44",""
"Female","610"
"Male","447"
"45-49",""
"Female","494"
"Male","394"
"50-54",""
"Female","451"
"Male","374"
"55-59",""
"Female","416"
"Male","368"
"5-9",""
"Female","2037"
"Male","2089"
"60-64",""
"Female","385"
"Male","305"
"65-69",""
"Female","314"
"Male","276"
"70-74",""
"Female","174"
"Male","204"
"75+",""
"Female","199"
"Male","211"
