"Population by Single Year of Age","Number"
"0",""
"Female","263"
"Male","268"
"1",""
"Female","243"
"Male","241"
"10",""
"Female","350"
"Male","367"
"11",""
"Female","359"
"Male","320"
"12",""
"Female","322"
"Male","360"
"13",""
"Female","327"
"Male","354"
"14",""
"Female","392"
"Male","385"
"15",""
"Female","338"
"Male","348"
"16",""
"Female","354"
"Male","342"
"17",""
"Female","365"
"Male","341"
"18",""
"Female","372"
"Male","354"
"19",""
"Female","300"
"Male","229"
"2",""
"Female","266"
"Male","269"
"20",""
"Female","329"
"Male","222"
"21",""
"Female","262"
"Male","173"
"22",""
"Female","372"
"Male","197"
"23",""
"Female","320"
"Male","160"
"24",""
"Female","302"
"Male","140"
"25",""
"Female","353"
"Male","156"
"26",""
"Female","274"
"Male","129"
"27",""
"Female","298"
"Male","148"
"28",""
"Female","262"
"Male","181"
"29",""
"Female","213"
"Male","120"
"3",""
"Female","249"
"Male","273"
"30",""
"Female","339"
"Male","208"
"31",""
"Female","160"
"Male","126"
"32",""
"Female","238"
"Male","160"
"33",""
"Female","196"
"Male","137"
"34",""
"Female","189"
"Male","132"
"35",""
"Female","254"
"Male","165"
"36",""
"Female","168"
"Male","137"
"37",""
"Female","170"
"Male","113"
"38",""
"Female","180"
"Male","131"
"39",""
"Female","144"
"Male","105"
"4",""
"Female","281"
"Male","296"
"40",""
"Female","258"
"Male","189"
"41",""
"Female","139"
"Male","114"
"42",""
"Female","181"
"Male","116"
"43",""
"Female","172"
"Male","122"
"44",""
"Female","140"
"Male","130"
"45",""
"Female","182"
"Male","158"
"46",""
"Female","151"
"Male","129"
"47",""
"Female","146"
"Male","103"
"48",""
"Female","145"
"Male","130"
"49",""
"Female","136"
"Male","97"
"5",""
"Female","277"
"Male","314"
"50",""
"Female","192"
"Male","168"
"51",""
"Female","121"
"Male","111"
"52",""
"Female","157"
"Male","161"
"53",""
"Female","107"
"Male","103"
"54",""
"Female","115"
"Male","116"
"55",""
"Female","120"
"Male","141"
"56",""
"Female","107"
"Male","105"
"57",""
"Female","89"
"Male","95"
"58",""
"Female","89"
"Male","87"
"59",""
"Female","88"
"Male","93"
"6",""
"Female","290"
"Male","289"
"60",""
"Female","126"
"Male","131"
"61",""
"Female","86"
"Male","79"
"62",""
"Female","90"
"Male","73"
"63",""
"Female","77"
"Male","80"
"64",""
"Female","75"
"Male","72"
"65",""
"Female","93"
"Male","60"
"66",""
"Female","46"
"Male","63"
"67",""
"Female","72"
"Male","68"
"68",""
"Female","71"
"Male","64"
"69",""
"Female","53"
"Male","43"
"7",""
"Female","341"
"Male","361"
"70",""
"Female","72"
"Male","60"
"71",""
"Female","44"
"Male","30"
"72",""
"Female","48"
"Male","65"
"73",""
"Female","41"
"Male","39"
"74",""
"Female","26"
"Male","44"
"75",""
"Female","37"
"Male","53"
"76",""
"Female","18"
"Male","35"
"77",""
"Female","34"
"Male","33"
"78",""
"Female","40"
"Male","30"
"79",""
"Female","21"
"Male","15"
"8",""
"Female","357"
"Male","346"
"80",""
"Female","26"
"Male","23"
"81",""
"Female","15"
"Male","11"
"82",""
"Female","12"
"Male","17"
"83",""
"Female","7"
"Male","18"
"84",""
"Female","14"
"Male","15"
"85",""
"Female","61"
"Male","47"
"9",""
"Female","341"
"Male","326"
