"Population by Mother tongue","Number"
"Bangla",""
"Female","7"
"Male","7"
"Bantawa",""
"Female","1376"
"Male","1272"
"Bhojpuri",""
"Female","5"
"Male","11"
"Chamling",""
"Female","531"
"Male","510"
"Dumi",""
"Female","10"
"Male","5"
"Gurung",""
"Female","27"
"Male","31"
"Hindi",""
"Female","18"
"Male","30"
"Kulung",""
"Female","23"
"Male","25"
"Limbu",""
"Female","1273"
"Male","1130"
"Magar",""
"Female","926"
"Male","693"
"Maithili",""
"Female","109"
"Male","114"
"Majhi",""
"Female","13"
"Male","9"
"Nepali",""
"Female","8517"
"Male","7001"
"Newar",""
"Female","280"
"Male","261"
"Not Reported",""
"Female","38"
"Male","27"
"Others",""
"Female","74"
"Male","51"
"Rai",""
"Female","1315"
"Male","1152"
"Sampang",""
"Female","13"
"Male","8"
"Sunuwar",""
"Female","24"
"Male","28"
"Tamang",""
"Female","936"
"Male","762"
"Tharu",""
"Female","14"
"Male","17"
"Thulung",""
"Female","21"
"Male","14"
